neighbourhood,listings,price_mean,price_median,reviews_mean
Fieldston,12,75.08333333333333,67.0,0.9291666666666667
Financial District,744,225.49059139784947,200.0,1.0108064516129032
Flatbush,621,92.21256038647343,72.0,0.8889855072463769
Flatiron District,80,341.925,225.0,0.907125
Flatlands,83,126.43373493975903,85.0,1.2801204819277108
Flushing,426,93.51408450704226,65.0,1.9245305164319249
Fordham,63,69.44444444444444,60.0,1.1468253968253967
Forest Hills,144,121.625,80.0,1.0551388888888888
Fort Greene,489,151.37423312883436,130.0,0.8327198364008179
Fort Hamilton,55,93.81818181818181,90.0,0.6907272727272727
Fort Wadsworth,1,800.0,800.0,0.0
Fresh Meadows,32,99.5,72.0,2.646875
Glendale,54,90.79629629629629,84.0,1.8211111111111111
Gowanus,247,158.80161943319837,129.0,1.174331983805668
Gramercy,338,222.75443786982248,165.0,0.8721301775147928
Graniteville,3,68.66666666666667,71.0,1.5333333333333332
Grant City,6,57.666666666666664,66.0,1.615
Gravesend,68,79.01470588235294,70.0,0.9002941176470588
Great Kills,10,100.6,83.0,0.99
Greenpoint,1114,144.9524236983842,119.0,0.704048473967684
Greenwich Village,392,263.40561224489795,197.5,0.7201275510204083
Grymes Hill,7,159.14285714285714,125.0,1.0271428571428571
Harlem,2658,118.97404063205417,89.0,1.1122009029345372
Hell's Kitchen,1958,204.79417773237998,168.0,1.4396271705822268
Highbridge,27,71.11111111111111,70.0,1.801111111111111
Hollis,14,88.64285714285714,77.5,1.4114285714285715
Holliswood,4,135.75,112.5,0.20750000000000002
Howard Beach,20,115.4,100.0,2.0435
Howland Hook,2,100.0,100.0,0.57
Huguenot,3,118.33333333333333,100.0,3.76
Hunts Point,18,50.5,40.0,1.1216666666666668
Inwood,252,88.89682539682539,77.5,0.7640873015873016
Jackson Heights,186,80.89784946236558,68.5,1.5767204301075268
Jamaica,231,95.77056277056278,70.0,2.617142857142857
Jamaica Estates,19,182.94736842105263,135.0,2.0878947368421055
Jamaica Hills,8,132.125,83.5,2.90125
Kensington,175,92.88571428571429,70.0,0.8313142857142857
Kew Gardens,32,88.375,67.5,1.0975
